china.png,Young Chinese woman in red Hanfu, intricate embroidery. Impeccable makeup, red floral forehead pattern. Elaborate high bun, golden phoenix headdress, red flowers, beads. Holds round folding fan with lady, trees, bird. Neon lightning-bolt lamp (⚡️), bright yellow glow, above extended left palm. Soft-lit outdoor night background, silhouetted tiered pagoda (西安大雁塔), blurred colorful distant lights.
pom.png,A small pomeranian puppy that is mostly white, but with black ears sitting on an American living room rug. She is similing at the camera and has a pink bow between her ears. Around her is a bunch of destroyed socks, toys, and treats.
tools.png,A Ryobi tablesaw being used by a tree who is cutting a wood worker in half. He has a bubble caption with the text "How do you like it?".
mario.png,A short Italian plumber wearing blue overalls and a red shirt stands ontop of a green pipe. He is holding a plunger. He has a red and white hat with the letter M in the middle.
#trump.png,Side profile of Donald Trump pantsless but with a suit jacket and tie sitting on a golden toilet. His face is red as he angrily screams towards his phone he is holding between his two hands
diego.png,Cartoon-style adventurer child with a backpack and a treasure map
water.png,Simple diagram depicting the water cycle
airship.png,A majestic steampunk airship soaring through clouds, in the style of Victorian engineering, detailed brass gears and cogs, dramatic lighting, epic cinematic oil painting.
coffee.png,Minimalist logo design for a coffee brand, in the style of Swiss modernism, clean lines, geometric shapes, monochromatic color palette, high contrast.
knight.png,A lone knight standing in a misty moorland at dusk, ancient Celtic ruins visible in background, purple storm clouds gathering, moss-covered stones, cold atmospheric haze.
tokyo.png,Neon-lit Tokyo street market at midnight, rain-slicked pavement, holographic signs, crowded with cyberpunk aesthetic, steam rising from food stalls, neon reflections. Here, the context of a "cyberpunk Tokyo market" is enhanced with sensory details like "steam" and "reflections" for a vibrant, dynamic scene.
warrior.png,Female warrior with a fierce expression, high cheekbones AND piercing blue eyes, long braided auburn hair with silver threads, bronze armor with Celtic patterns, holding an ornate sword, confident pose, determined jaw.
wizard.png,Elderly wizard, weathered face with deep laugh lines, kind grey eyes filled with wisdom, magnificent long white beard, wearing deep purple robes with star embroidery, holding a gnarled oak staff, a gentle smile.
freckles.png,Close-up portrait of a woman with freckles, 85mm lens, f/1.2 aperture, shallow depth of field, golden hour lighting, shot on Kodak Portra 400, 4K resolution.
highlands.png,Wide-angle landscape of the Scottish Highlands, 24mm focal length, f/8 aperture, vibrant color grading, shot on RED Komodo, hyper-detailed, 16K UHD.
dragon.png,A dragon descending toward a medieval castle, brave knight in foreground with sword raised, villagers fleeing in background, fiery destruction, dramatic sky, rule of thirds composition, cinematic tension.
dancers.png,Intimate scene of two dancers mid-leap, bodies intertwined, fabric flowing, audience blurred in background, spotlight illuminating them, golden stage, emotion and connection captured.
forest.png,Enchanted forest scene dominated by deep teals, emerald greens, and gold accents, cool mysterious mood, twilight hour, magical atmosphere, saturated jewel tones, high contrast.
#sepia.png,Warm vintage photograph with muted sepia, burnt orange, cream, and dusty rose tones, nostalgic melancholic mood, desaturated warm feeling, faded film aesthetic.
bladerunner.png,A futuristic cyberpunk city at dusk, inspired by the neo-noir visuals of Blade Runner 2049, with the symmetrical composition and pastel color palette of a Wes Anderson film.
musician.png,Portrait of a modern musician, in the style of Caravaggio, dramatic chiaroscuro lighting casting deep shadows, rich textures on contemporary clothing, Renaissance composition.
vince.png,1950s noir scene inside a cluttered detective Office in a dark gritty city. the seasoned investigator, mid-50s, bald, with a rugged, world-worn face, sits at his heavy wooden detective desk. He wears his signature fedora slightly tilted, a long trench coat, and a pressed dress shirt with the top button undone. His posture is steady but tired, one hand resting near scattered case files, old photographs, and an ashtray with a thin trail of smoke. He’s turned toward a large rain-soaked window, watching the city lights blur behind the heavy downpour. Outside, neon reflections ripple in puddles, distant silhouettes of 1950s cars and streetlamps barely visible. Inside, the only illumination is a warm desk lamp casting long shadows across the cluttered office—filing cabinets, a corkboard covered in pinned evidence, a rotary phone, and dust motes drifting in the air. Cinematic framing: medium-wide shot from slightly behind and to the side, allowing both Vince’s profile and the rain-lashed window to dominate the composition. Moody, atmospheric, film-noir lighting with high contrast and soft rim light from the window.
